key,note,type,scrape_group,ticker_yahoo,webull,reuters,google,investing,finance_charts,stock_analysis,trading_view,ycharts,nasdaq,wsj,marketbeat,moomoo,cnbc
SGOV,,etf,a,SGOV,https://www.webull.com/quote/nysearca-sgov,,https://www.google.com/finance/quote/SGOV:NYSEARCA,https://www.investing.com/etfs/sgov,https://www.financecharts.com/etfs/SGOV,https://stockanalysis.com/etf/sgov/,https://www.tradingview.com/symbols/AMEX-SGOV/,https://ycharts.com/companies/SGOV,,,https://www.marketbeat.com/stocks/NYSEARCA/SGOV/,https://www.moomoo.com/stock/SGOV-US,https://www.cnbc.com/quotes/SGOV
SPLG,,etf,c,SPLG,https://www.webull.com/quote/nysearca-splg,https://www.reuters.com/markets/quote/SPLG.A/,https://www.google.com/finance/quote/SPLG:NYSEARCA,https://www.investing.com/etfs/spdr-russell-1000,https://www.financecharts.com/etfs/SPLG,https://stockanalysis.com/etf/splg/,https://www.tradingview.com/symbols/AMEX-SPLG/,,,,https://www.marketbeat.com/stocks/NYSEARCA/SPLG/,https://www.moomoo.com/stock/SPLG-US,https://www.cnbc.com/quotes/SPLG
SSO,,etf,c,SSO,https://www.webull.com/quote/nysearca-sso,https://www.reuters.com/markets/quote/sso/,https://www.google.com/finance/quote/SSO:NYSEARCA,https://www.investing.com/etfs/proshares-ultra-s-p500,https://www.financecharts.com/etfs/SSO,https://stockanalysis.com/etf/sso/,https://www.tradingview.com/symbols/AMEX-SSO/,,,,https://www.marketbeat.com/stocks/NYSEARCA/SSO/,https://www.moomoo.com/stock/SSO-US,https://www.cnbc.com/quotes/SSO
TQQQ,,etf,a,TQQQ,https://www.webull.com/quote/nasdaq-tqqq,https://www.reuters.com/markets/quote/TQQQ.OQ/,https://www.google.com/finance/quote/TQQQ:NASDAQ,https://www.investing.com/etfs/proshares-trust-ultrapro-qqq,https://www.financecharts.com/etfs/TQQQ,https://stockanalysis.com/etf/tqqq/,https://www.tradingview.com/symbols/NASDAQ-TQQQ/,https://ycharts.com/companies/TQQQ,,,https://www.marketbeat.com/stocks/NASDAQ/TQQQ/,https://www.moomoo.com/stock/TQQQ-US,https://www.cnbc.com/quotes/TQQQ
#UPRO,,etf,c,UPRO,https://www.webull.com/quote/nysearca-upro,https://www.reuters.com/markets/quote/UPRO.A/,https://www.google.com/finance/quote/UPRO:NYSEARCA,https://www.investing.com/etfs/proshares-ultrapro-s-p500,https://www.financecharts.com/etfs/UPRO,https://stockanalysis.com/etf/upro/,https://www.tradingview.com/symbols/AMEX-UPRO/,,,,https://www.marketbeat.com/stocks/NYSEARCA/UPRO/,https://www.moomoo.com/stock/UPRO-US,https://www.cnbc.com/quotes/UPRO
VGT,,etf,a,VGT,https://www.webull.com/quote/nysearca-vgt,https://www.reuters.com/markets/quote/VGT/,https://www.google.com/finance/quote/VGT:NYSEARCA,https://www.investing.com/etfs/vanguard-information-tech,https://www.financecharts.com/etfs/VGT,https://stockanalysis.com/etf/vgt/,https://www.tradingview.com/symbols/AMEX-VGT/,https://ycharts.com/companies/VGT,,,https://www.marketbeat.com/stocks/NYSEARCA/VGT/,https://www.moomoo.com/stock/VGT-US,https://www.cnbc.com/quotes/VGT
VOO,,etf,c,VOO,https://www.webull.com/quote/nysearca-voo,,https://www.google.com/finance/quote/VOO:NYSEARCA,https://www.investing.com/etfs/vanguard-s-p-500,https://www.financecharts.com/etfs/VOO,https://stockanalysis.com/etf/voo/,https://www.tradingview.com/symbols/AMEX-VOO/,https://ycharts.com/companies/VOO,,,https://www.marketbeat.com/stocks/NYSEARCA/VOO/,https://www.moomoo.com/stock/VOO-US,https://www.cnbc.com/quotes/VOO
VTI,,etf,c,VTI,https://www.webull.com/quote/nysearca-vti,https://www.reuters.com/markets/quote/VTI/,https://www.google.com/finance/quote/VTI:NYSEARCA,https://www.investing.com/etfs/vanguard-total-stkmkt,https://www.financecharts.com/etfs/VTI,https://stockanalysis.com/etf/vti/,https://www.tradingview.com/symbols/AMEX-VTI/,https://ycharts.com/companies/VTI,,,https://www.marketbeat.com/stocks/NYSEARCA/VTI/,https://www.moomoo.com/stock/VTI-US,https://www.cnbc.com/quotes/VTI
#XDTE,,etf,c,XDTE,https://www.webull.com/quote/bats-xdte,https://www.reuters.com/markets/quote/XDTE.N/,https://www.google.com/finance/quote/XDTE:BATS,https://www.investing.com/etfs/xdte,https://www.financecharts.com/stocks/XDTE,https://stockanalysis.com/etf/xdte/,https://www.tradingview.com/symbols/CBOE-XDTE/,https://ycharts.com/companies/XDTE,,,https://www.marketbeat.com/stocks/NYSEARCA/XDTE/,https://www.moomoo.com/stock/XDTE-US,https://www.cnbc.com/quotes/XDTE
#YBTC,,etf,c,YBTC,https://www.webull.com/quote/bats-ybtc,,https://www.google.com/finance/quote/YBTC:BATS,https://www.investing.com/etfs/ybtc-nyse,https://www.financecharts.com/etfs/YBTC,https://stockanalysis.com/etf/ybtc/,https://www.tradingview.com/symbols/CBOE-YBTC/,https://ycharts.com/companies/YBTC,,,https://www.marketbeat.com/stocks/BATS/YBTC/,https://www.moomoo.com/stock/YBTC-US,https://www.cnbc.com/quotes/YBTC
